"au_medcodeid","term","group_16_num","group_16","group_6_num","group_6"
"au_285952017","other black - black/white orig",7,"other mixed",2,"mixed"
"au_158351000000119","other black background - ethnic category 2001 census",14,"other black",4,"black"
"au_459782019","other black ethnic group",14,"other black",4,"black"
"au_937731000006115","other black or black unspecified ethnic category 2001 census",14,"other black",4,"black"
"au_459785017","other ethnic group",16,"other",5,"chinese and other"
"au_1968391000006113","other ethnic group: any other grp- ni ethnic cat 2011 census",16,"other",5,"chinese and other"
"au_1968211000006112","other ethnic group: arab - eng+wales ethnic cat 2011 census",16,"other",5,"chinese and other"
"au_1968381000006110","other ethnic group: arab - ni ethnic category 2011 census",16,"other",5,"chinese and other"
"au_1968591000006116","other ethnic grp: any other ethnic grp- scotland 2011 census",16,"other",5,"chinese and other"
"au_1968581000006119","other ethnic grp: arab/arab scot/arab british- scotland 2011",16,"other",5,"chinese and other"
"au_285988010","other ethnic nec (nmo)",16,"other",5,"chinese and other"
"au_285958018","other ethnic non-mixed (nmo)",16,"other",5,"chinese and other"
"au_285991010","other ethnic, asian/white orig",6,"white and asian",2,"mixed"
"au_4740361000006111","other ethnic, asian/white origin",6,"white and asian",2,"mixed"
"au_285990011","other ethnic, black/white orig",7,"other mixed",2,"mixed"
"au_4740341000006112","other ethnic, black/white origin",7,"other mixed",2,"mixed"
"au_285989019","other ethnic, mixed origin",7,"other mixed",2,"mixed"
"au_285992015","other ethnic, mixed white orig",7,"other mixed",2,"mixed"
"au_4740381000006118","other ethnic, mixed white origin",7,"other mixed",2,"mixed"
"au_285993013","other ethnic, other mixed orig",7,"other mixed",2,"mixed"
"au_4740401000006118","other ethnic, other mixed origin",7,"other mixed",2,"mixed"
"au_1968221000006116","other ethnic: any other grp - eng+wales eth cat 2011 census",16,"other",5,"chinese and other"
"au_285987017","other european (nmo)",3,"other white",1,"white"
"au_141351000000111","other mixed background - ethnic category 2001 census",7,"other mixed",2,"mixed"
"au_937511000006119","other mixed or mixed unspecified ethnic category 2001 census",7,"other mixed",2,"mixed"
"au_142791000000111","other mixed white - ethnic category 2001 census",3,"other white",1,"white"
"au_286021014","other new zealand ethnic group",16,"other",5,"chinese and other"
"au_286017019","other pacific ethnic group",16,"other",5,"chinese and other"
"au_937371000006116","other republics former yugoslavia - ethnic categ 2001 census",3,"other white",1,"white"
"au_141311000000112","other white background - ethnic category 2001 census",3,"other white",1,"white"
"au_1780408016","other white british ethnic group",1,"white british",1,"white"
"au_459728018","other white ethnic group",3,"other white",1,"white"
"au_937411000006115","other white or white unspecified ethnic category 2001 census",3,"other white",1,"white"
"au_1565441000006111","pakistani",9,"pakistani",3,"south asian"
"au_285955015","pakistani",9,"pakistani",3,"south asian"
"au_141361000000114","pakistani or british pakistani - ethnic category 2001 census",9,"pakistani",3,"south asian"
"au_138201000000110","polish - ethnic category 2001 census",3,"other white",1,"white"
"au_141521000000110","punjabi - ethnic category 2001 census",11,"other south asian",3,"south asian"
"au_196601000006113","race: afro-caribbean",12,"carribean",4,"black"
"au_196611000006111","race: afro-caucasian",5,"white and african",2,"mixed"
"au_196631000006117","race: bangladeshi",10,"bangladeshi",3,"south asian"
"au_196641000006110","race: caucasian",1,"white british",1,"white"
"au_196721000006111","race: pakistani",9,"pakistani",3,"south asian"
"au_250243013","race: west indian",12,"carribean",4,"black"
"au_2645811000000115","roma ethnic group",3,"other white",1,"white"
"au_141431000000111","scottish - ethnic category 2001 census",3,"other white",1,"white"
"au_157991000000110","serbian - ethnic category 2001 census",3,"other white",1,"white"
"au_142891000000115","sikh - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_157301000000116","sinhalese - ethnic category 2001 census",11,"other south asian",3,"south asian"
"au_141591000000113","somali - ethnic category 2001 census",14,"other black",4,"black"
"au_1565711000006118","south african",16,"other",5,"chinese and other"
"au_138271000000119","south and central american - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_286018012","south east asian",11,"other south asian",3,"south asian"
"au_136081000000111","sri lankan - ethnic category 2001 census",11,"other south asian",3,"south asian"
"au_141551000000117","tamil - ethnic category 2001 census",11,"other south asian",3,"south asian"
"au_138181000000111","traveller - ethnic category 2001 census",3,"other white",1,"white"
"au_156921000000110","turkish - ethnic category 2001 census",3,"other white",1,"white"
"au_411596013","turkish (nmo)",3,"other white",1,"white"
"au_142721000000113","turkish cypriot - ethnic category 2001 census",3,"other white",1,"white"
"au_411597016","turkish cypriot (nmo)",3,"other white",1,"white"
"au_405071018","turkish/turkish cypriot (nmo)",3,"other white",1,"white"
"au_142691000000116","ulster scots - ethnic category 2001 census",3,"other white",1,"white"
"au_456650013","vietnamese",16,"other",5,"chinese and other"
"au_141621000000111","vietnamese - ethnic category 2001 census",16,"other",5,"chinese and other"
"au_141441000000119","welsh - ethnic category 2001 census",3,"other white",1,"white"
"au_411579012","west indian (nmo)",12,"carribean",4,"black"
"au_250231012","west indian origin",12,"carribean",4,"black"
"au_285925010","white",1,"white british",1,"white"
"au_2486161000000112","white - northern ireland ethnic category 2011 census",3,"other white",1,"white"
"au_141341000000113","white and asian - ethnic category 2001 census",6,"white and asian",2,"mixed"
"au_141331000000116","white and black african - ethnic category 2001 census",5,"white and african",2,"mixed"
"au_141321000000118","white and black caribbean - ethnic category 2001 census",4,"white and carribean",2,"mixed"
"au_459726019","white british",1,"white british",1,"white"
"au_1063981000000117","white british - ethnic category 2001 census",1,"white british",1,"white"
"au_459727011","white irish",2,"white irish",1,"white"
"au_1064041000000111","white irish - ethnic category 2001 census",2,"white irish",1,"white"
"au_1780407014","white scottish",1,"white british",1,"white"
"au_1968071000006114","white: gypsy/irish traveller - eng+wales eth cat 2011 census",3,"other white",1,"white"
"au_1968441000006112","white: gypsy/irish traveller - scotland ethnic cat 2011 cens",3,"other white",1,"white"
"au_2484671000000118","white: irish - england and wales ethnic category 2011 census",2,"white irish",1,"white"
"au_2487361000000112","white: irish - scotland ethnic category 2011 census",2,"white irish",1,"white"
"au_2487321000000116","white: other british - scotland ethnic category 2011 census",3,"other white",1,"white"
"au_1968081000006112","white: other white backgrd- eng+wales ethnic cat 2011 census",3,"other white",1,"white"
"au_1968461000006111","white: other white ethnic grp- scotland ethnic cat 2011 cens",3,"other white",1,"white"
"au_2487481000000113","white: polish - scotland ethnic category 2011 census",3,"other white",1,"white"
"au_2487281000000112","white: scottish - scotland ethnic category 2011 census",3,"other white",1,"white"
"au_1968051000006116","white:eng/welsh/scot/ni/brit - england and wales 2011 census",1,"white british",1,"white"
"au_286020010","asian - ethnic group",11,"other south asian",3,"south asian"
"au_1968561000006112","Carib/Black: Black/Black Scot/Black Brit- Scotland 2011 cens",14,"other black",4,"black"
"au_1160331000000119","Czech",3,"other white",1,"white"
"au_2615461000000111","Czwch Roma",3,"other white",1,"white"
"au_501416013","fijian",16,"other",5,"chinese and other"
"au_2615531000000117","Hungarian Roma",3,"other white",1,"white"
"au_1572831000000110","Nepali",11,"other south asian",3,"south asian"
"au_286007012","New Zealand European",3,"other white",1,"white"
"au_286012013","New Zealand Maori",16,"other",5,"chinese and other"
"au_2615571000000115","Polish Roma",3,"other white",1,"white"
"au_133078012","Portuguese",3,"other white",1,"white"
"au_1565081000006111","Korean (south)",16,"other",5,"chinese and other"
"au_1158211000000111","Romanian",3,"other white",1,"white"
"au_2615611000000112","Romanian Roma",3,"other white",1,"white"
"au_507015012","Samoan",16,"other",5,"chinese and other"
"au_1551471000000116","Slovak",3,"other white",1,"white"
"au_2615361000000115","Slovak Roma",3,"other white",1,"white"
